manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
apple,"
لپ تاپ اپل مک بوک ایر 2020 مدل MVH52
","
MacBook Air 2020 MVH52 13 inch with Retina Display Laptop
","31,720,000 تومان","31,900,000 تومان",212 * 16 * 304 میلیمتر,1.29 کیلوگرم,مک‌بوک,13.3 اینچ,LED-backlit display with IPS technology,1600 * 2560,INTEL,Core i5,1.1 گیگاهرتز,3.5 گیگاهرتز,,8 گیگابایت,,512 گیگابایت,SSD,Intel,Intel Iris Plus Graphics,,109473
apple,"
لپ تاپ اپل مک بوک پرو 2019 مدل MV932 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 2019  MV932 Core i9 15.4 inch with Touch Bar and Retina Display Laptop
","14,650,000 تومان","14,850,000 تومان",15 * 240 * 349 میلیمتر,1.83 کیلوگرم,مک‌بوک,15.4 اینچ,IPS LCD,1800 * 2880,INTEL,Core i9,2.3 گیگا هرتز,4.8 گیگاهرتز,,16 گیگابایت,DDR4,512 گیگابایت,SSD,AMD,Radeon Pro 560X GDDR5 ,4 گیگابایت,72426
apple,"
لپ تاپ اپل مک بوک ایر 2019 مدل MVFM2
","
MacBook Air 2019 MVFM2 13.3 inch with Retina Display Laptop
","104,880,000 تومان","105,880,000 تومان",305 * 15 * 305 میلیمتر,1.25 کیلوگرم,مک‌بوک,13.3 اینچ,IPS,1600 * 2560,INTEL,Core i5,1.6 گیگاهرتز,3.6 گیگاهرتز,,8 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,UHD Graphics 617,,73192
apple,"
لپ تاپ اپل مک بوک ایر 2019 مدل MVFK2
","
MacBook Air 2019 MVFK2 13.3 inch with Retina Display Laptop
","28,575,000 تومان","14,850,000 تومان",305 * 15 * 305 میلیمتر,1.25 کیلوگرم,مک‌بوک,13.3 اینچ,IPS,1600 * 2560,INTEL,Core i5,1.6 گیگاهرتز,3.6 گیگاهرتز,,8 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,UHD Graphics 617,,73193
apple,"
لپ تاپ اپل مک بوک ایر 2019 مدل MVFL2
","
MacBook Air 2019 MVFL2 13.3 inch with Retina Display Laptop
","22,850,000 تومان","22,900,000 تومان",305 * 15 * 305 میلیمتر,1.25 کیلوگرم,مک‌بوک,13.3 اینچ,IPS,1600 * 2560,INTEL,Core i5,1.6 گیگاهرتز,3.6 گیگاهرتز,,8 گیگابایت,2133 مگا هرتز,256 گیگابایت,SSD,Intel,UHD Graphics 617,,74397
apple,"
لپ تاپ اپل مک بوک پرو 2019 مدل MV922 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 2019  MV922 Core i7 15.4 inch with Touch Bar and Retina Display Laptop
","31,199,000 تومان","32,199,000 تومان",15 * 240 * 349 میلیمتر,1.83 کیلوگرم,مک‌بوک,15.4 اینچ,IPS LCD,1800 * 2880,INTEL,Core i7,2.6 گیگا هرتز,4.6 گیگاهرتز,,16 گیگابایت,DDR4,256 گیگابایت,SSD,AMD,Radeon Pro 555X with 4GB of GDDR5Intel UHD Graphics 630,4 گیگابایت,76231
apple,"
لپ تاپ اپل مک بوک ایر 2020 مدل MVH42
","
MacBook Air 2020 MVH42 13 inch with Retina Display Laptop
","30,330,000 تومان","30,530,000 تومان",212 * 16 * 304 میلیمتر,1.29 کیلوگرم,مک‌بوک,13.3 اینچ,LED-backlit display with IPS technology,1600 * 2560,INTEL,Core i5,1.1 گیگاهرتز,3.5 گیگاهرتز,,8 گیگابایت,,512 گیگابایت,SSD,Intel,Intel Iris Plus Graphics,,109474
apple,"
لپ تاپ اپل مک بوک ایر 2020 مدل MWTK2 با پردازنده i3
","
MacBook Air 2020 MWTK2 13 inch with Retina Display Laptop
","23,550,000 تومان","23,750,000 تومان",212 * 16 * 304 میلیمتر,1.29 کیلوگرم,مک‌بوک,13.3 اینچ,LED-backlit display with IPS technology,1600 * 2560,INTEL,Core i3,1.1 گیگاهرتز,3.2 گیگاهرتز,,8 گیگابایت,,256 گیگابایت,SSD,Intel,Intel Iris Plus Graphics,,109477
apple,"
لب تاپ اپل مک بوک پرو مدل MPXV2 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 2017 MPXV2 13 inch with Touch Bar and Retina Display Laptop
","26,550,000 تومان","29,000,000 تومان",15 * 213 * 305 میلیمتر,1.37 کیلوگرم,مک‌بوک,13.3 اینچ,IPS LCD,1600 * 2560,INTEL,Core i5,3.1 گیگاهرتز,3.5 گیگاهرتز,,8 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,Iris Plus Graphics 650,,51664
apple,"
لب تاپ اپل مک بوک ایر مدل ام جی وی ای 2
","
MacBookAir-MJVE2
","28,530,000 تومان","28,630,000 تومان",17 * 277 * 325 میلی‌متر,1.35 کیلوگرم,,13 اینچ,TFT LED-Backlit LCD,900 * 1440,INTEL,Core i5,5th Generation-Broadwell,1.6 گیگاهرتز,,4 گیگابایت,DDR3,128 گیگابایت,SSD,Intel,HD Graphics 6000,,1554
