manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
apple,"
لپ تاپ 13 اینچی اپل مدل MacBook Pro MWP82 2020 Core i5 10th همراه با تاچ بار
","
MacBook Pro MWP82 2020 Core i5 10th 13 inch with Touch Bar and Retina Display Laptop
",98500000,99500000,15 * 212 * 304 میلیمتر,1.4,مک‌بوک,13.3,LED-backlit display with IPS technology,1600 * 2560,INTEL,Core i5,2.0 گیگا هرتز,3.8 گیگاهرتز,,16 گیگابایت,DDR4,1 ترابایت,SSD,Intel,Intel Iris Plus,,109617
apple,"
لپ تاپ 16 اینچ اپل مک بوک پرو 2019 مدل MVVK2 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 16-inch MVVK2 Core i9 with Touch Bar and Retina Display Open Box Laptop
",72500000,73500000,16 * 245 * 357 میلیمتر,,مک‌بوک,,Retina displayLED‑backlit display with IPS,3072‑by‑1920 native resolution at 226 pixels ,INTEL,Core i9,2.3 گیگا هرتز,4.8 گیگاهرتز,,16 گیگابایت,DDR4,1 ترابایت,SSD,AMD,AMD Radeon Pro 5500M with 4GB of GDDR6Intel UHD Graphics 630,4 گیگابایت,110506
apple,"
MacBook Air اپل 13 اینچ مدل MGN73 پردازنده Apple M1 chip رم 8GB حافظه 512GB SSD
","
Apple MacBook Air MGN73 2020 - 13 inch Laptop
",36288000,37288000,304.1x212.4x16.1 میلی‌متر,1.29,مک‌بوک,13.3,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,512 گیگابایت,SSD,Apple,8core Apple-designed integrated GPU,,114321
apple,"
MacBook Pro اپل 13 اینچ مدل MYD82 پردازنده M1 رم 8GB حافظه 256GB SSD
","
Apple MacBook Pro MYD82 2020 - 13 inch Laptop 
",42600000,43600000,304.1x212.4x15.6 میلی‌متر,1.4,مک‌بوک,13.3,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,256 گیگابایت,SSD,Apple,8core Apple-designed integrated GPU,,114322
apple,"
MacBook Pro اپل 13 اینچ مدل MYD92 پردازنده M1 رم 8GB حافظه 512GB SSD
","
Apple MacBook Pro MYD92 2020 - 13 inch Laptop 
",103500000,104000000,30.41*21.24*1.56 میلی‌متر,1.4,مک‌بوک,13.3,IPS technology,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,512 گیگابایت,SSD,Apple,,,114329
apple,"
لپ تاپ 13 اینچی اپل مدل MacBook Air CTO 2017 
","
MacBook Air 2017 CTO i7 8GB 256GB 13.3 inch Laptop
",44100000,44600000,17 * 227 * 325 میلیمتر,1.35,مک‌بوک,13.3,TFT LED-backlit LCD,900 * 1440,INTEL,Core i7,2.2 گیگا هرتز,3.2 گیگاهرتز,,8 گیگابایت,DDR3,256 گیگابایت,SSD,Intel,HD Graphics 6000,,109478
apple,"
لپ تاپ 16 اینچ اپل مک بوک پرو 2019 مدل MVVN2 دارای تاچ بار و صفحه نمایش رتینا
","
MacBook Pro 16-inch MVVN2 Core i9 with Touch Bar and Retina Display Laptop
",28530000,28630000,16 * 245 * 357 میلیمتر,,مک‌بوک,,Retina displayLED‑backlit display with IPS,3072‑by‑1920 native resolution at 226 pixels ,INTEL,Core i9,2.4 گیگا هرتز,5.0 گیگاهرتز,,32 گیگابایت,DDR4,2 ترابایت,SSD,AMD,AMD Radeon Pro 5500M with 8GB of GDDR6Intel UHD Graphics 630,8 گیگا بایت,107735
apple,"
MacBook Pro اپل 13 اینچ مدل 5YD82 پردازنده M1 رم 8GB حافظه 256GB SSD
","
Apple MacBook Pro 5YD82 2020 Refurbished 13 inch Laptop 
",69300000,70300000,304.1x212.4x15.6 میلی‌متر,1.4,مک‌بوک,13.3,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,256 گیگابایت,SSD,Apple,8core Apple-designed integrated GPU,,125697
apple,"
لپ تاپ اپل 16 اینچی مدل Mac Book Pro 16inch CTO 2021 پردازنده M1 Max رم 64GB حافظه 1TB SSD
","
Apple MacBook Pro 16‑inch CTO 2021 M1 Max 64GB 1TB SSD Laptop
",30150000,46300000,355x248x168 میلی‌متر,2.2,مک‌بوک,16.2,Liquid Retina XDR display,3456*2234,Apple,M1 Max,M1 Max with 10-core CPU,,,64 گیگابایت,unified memory,1 ترابایت,SSD,Apple,32core GPU16core Neural Engine400GB/s memory bandwidth,,126770
apple,"
لپ تاپ اپل 16 اینچی مدل Mac Book Pro 16inch CTO 2021 پردازنده M1 Max رم 64GB حافظه 2TB SSD
","
Apple MacBook Pro 16‑inch CTO 2021 M1 Max 64GB 2TB SSD Laptop
",44750000,140000000,355x248x168 میلی‌متر,2.2,مک‌بوک,16.2,Liquid Retina XDR display,3456*2234,Apple,M1 Max,M1 Max with 10-core CPU,,,64 گیگابایت,unified memory,2 ترابایت,SSD,Apple,32core GPU16core Neural Engine400GB/s memory bandwidth,,126771
apple,"
لپ تاپ اپل 16 اینچی مدل Mac Book Pro 16inch CTO 2021 پردازنده M1 Max رم 32GB حافظه 1TB SSD
","
Apple MacBook Pro 16‑inch CTO 2021 M1 Max 32GB 1TB SSD Laptop
",21784000,21899000,355x248x168 میلی‌متر,2.2,مک‌بوک,16.2,Liquid Retina XDR display,3456*2234,Apple,M1 Max,M1 Max with 10-core CPU,,,32 گیگابایت,unified memory,1 ترابایت,SSD,Apple,32core GPU16core Neural Engine400GB/s memory bandwidth,,127029
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Starlight CTO پردازنده M2 رم 16GB حافظه 1TB SSD گرافیک 10Core GPU
","
Apple MacBook Air 2022 Starlight CTO M2 16GB 1TB SSD 10-Core GPU 13.6 inch Laptop
",42610000,42960000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10 هسته ای,,127197
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Midnight CTO پردازنده M2 رم 16GB حافظه 1TB SSD گرافیک 10Core GPU
","
Apple MacBook Air 2022 Midnight CTO M2 16GB 1TB SSD 10-Core GPU 13.6 inch Laptop
",45000000,46000000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10 هسته ای,,127205
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Space Gray CTO پردازنده M2 رم 16GB حافظه 1TB SSD گرافیک 10Core GPU
","
Apple MacBook Air 2022 Space Gray CTO M2 16GB 1TB SSD 10-Core GPU 13.6 inch Laptop
",17249000,17399000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10 هسته ای,,127268
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Silver CTO پردازنده M2 رم 16GB حافظه 1TB SSD گرافیک 10Core GPU
","
Apple MacBook Air 2022 Silver CTO M2 16GB 1TB SSD 10-Core GPU 13.6 inch Laptop
",21300000,21400000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10 هسته ای,,127269
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Midnight CTO پردازنده M2 رم 24GB حافظه 1TB SSD گرافیک 10Core GPU
","
Apple MacBook Air 2022 Midnight CTO M2 24GB 1TB SSD 10-Core GPU 13.6 inch Laptop
",44900000,17370000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,,,24 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10 هسته ای,,127287
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Starlight CTO پردازنده M2 رم 24GB حافظه 1TB SSD گرافیک 10Core GPU
","
Apple MacBook Air 2022 Starlight CTO M2 24GB 1TB SSD 10-Core GPU 13.6 inch Laptop
",56888000,57888000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,,,24 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10 هسته ای,,127439
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Space Gray CTO پردازنده M2 رم 24GB حافظه 1TB SSD گرافیک 10Core GPU
","
Apple MacBook Air 2022 Space Gray CTO M2 24GB 1TB SSD 10-Core GPU 13.6 inch Laptop
",37249000,37399000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,,,24 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10 هسته ای,,127440
apple,"
لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Silver CTO پردازنده M2 رم 24GB حافظه 1TB SSD گرافیک 10Core GPU
","
Apple MacBook Air 2022 Silver CTO M2 24GB 1TB SSD 10-Core GPU 13.6 inch Laptop
",21050000,21150000,30.41x21.24x1.11 سانتی ‌متر,1.24,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology ,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,,,24 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10 هسته ای,,127441
apple,"
لپ تاپ اپل 14 اینچی مدل Mac Book Pro 14inch CTO 2021 MKH53 پردازنده M1 Max رم 64GB حافظه 2TB SSD
","
Apple MacBook Pro 14‑inch CTO 2021 MKH53 M1 Max 64GB 2TB SSD Laptop
",49388000,50388000,1.55x31.26 x22.12 سانتیمتر,1.6,مک‌بوک,14.2,Liquid Retina XDR display,3024*1964,Apple,M1 Max,M1 Max with 10-core CPU,,,64 گیگابایت,unified memory,2 ترابایت,SSD,Apple,32core GPU16core Neural Engine400GB/s memory bandwidth,,127789
apple,"
لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 CTO MNEW3 پردازنده M2 رم 24GB حافظه 1TB SSD
","
Apple MacBook Pro 2022 CTO MNEW3 13.3"" M2 24GB 1TB SSD Laptop
",18055000,78288000,1.56*30.41*21.24 سانتی ‌متر,1.4,مک‌بوک,13.3,Liquid Retina XDR,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",,,24 گیگابایت,unified memory,1 ترابایت,SSD,Apple,10core GPU16-core Neural Engine100GB/s memory bandwidth,,127790
apple,"
لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK1F3 پردازنده M1 Pro رم 16GB حافظه 1TB SSD
","
Apple MacBook Pro 16‑inch MK1F3 M1 Pro 16GB 1TB SSD Laptop
",72874000,72999000,355x248x168 میلی‌متر,2.2,مک‌بوک,16.2,Liquid Retina XDR display,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,,122118
