manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
microsoft,"
لپ تاپ مایکروسافت 12.4 اینچی مدل Surface Laptop Go پردازنده Core i5 رم 8GB حافظه 256GB صفحه نمایش لمسی
","
Surface Laptop Go Core i5 8GB 256GB Intel 12.4inch Touch Laptop 
",20289000,20399000,1.11 کیلوگرم,6.968171408250355,,12.5,PixelSense™ Display,,INTEL,Core i5,i5 1035 G1,,,8 گیگابایت,DDR4,256 گیگابایت,SSD,Intel,Intel® UHD Graphics,,116566
microsoft,"
لپ تاپ مایکروسافت 12.4 اینچی مدل Surface Laptop Go پردازنده Core i5 رم 16GB حافظه 256GB صفحه نمایش لمسی
","
Surface Laptop Go Core i5 16GB 256GB Intel 12.4inch Touch Laptop 
",37150000,37400000,1.11 کیلوگرم,6.968171408250355,,12.5,PixelSense™ Display,,INTEL,Core i5,i5 1035 G1,,,16 گیگابایت,DDR4,256 گیگابایت,SSD,Intel,Intel® UHD Graphics,,116567
microsoft,"
لپ تاپ مایکروسافت 12.4 اینچی مدل Surface Laptop Go پردازنده Core i5 رم 4GB حافظه 64GB صفحه نمایش لمسی
","
Surface Laptop Go Core i5 4GB 64GB Intel 12.4inch Touch Laptop 
",24500000,22999000,1.11 کیلوگرم,6.968171408250355,,12.5,PixelSense™ Display,,INTEL,Core i5,i5 1035 G1,,,4 گیگابایت,DDR4,64 گیگابایت,eMMC,Intel,Intel® UHD Graphics,,116568
microsoft,"
لپ تاپ مایکروسافت 15 اینچی مدل Surface Laptop 3 پردازنده Core i5 رم 8GB حافظه 128GB
","
Surface Laptop 3 15inch Core i5 8GB 128GB SSD Intel Touch Laptop 
",31684000,31799000,339.5x244x14.69 میلی‌متر,1.5,نوت بوک (لپ تاپ),15.356340405014462,PixelSense™ Display,1440 * 2304,INTEL,Core i5,i5-1035G7,1.2 گیگاهرتز,6 مگابایت,8 گیگابایت,DDR4,128 گیگابایت,SSD,Intel,Intel Iris Plus Graphics,,120266
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 3 Core i7 16GB 256GB SSD Intel
","
Surface Laptop 3 Core i7 16GB 256GB SSD Intel Touch 15 Inch Laptop
",32550000,32750000,1.2 کیلوگرم,6.968171408250355,,15.356340405014462,PixelSense™ Display,2256 * 1504,INTEL,Core i7,i7 1065 G7,,,16 گیگابایت,DDR4,256 گیگابایت,SSD,Intel,Intel Iris Plus Graphics,,120364
microsoft,"
لپ تاپ 15 اینچی مایکروسافت مدل Surface Laptop 3 Core i7 32GB 1TB SSD Intel
","
Surface Laptop 3 Core i7 32GB 1TB SSD Intel Touch 15 Inch Laptop
",44090000,44590000,1.2 کیلوگرم,6.968171408250355,,15.356340405014462,PixelSense™ Display,2256 * 1504,INTEL,Core i7,i7 1065 G7,,,32 گیگابایت,DDR4,1 ترابایت,SSD,Intel,Intel Iris Plus Graphics,,121065
microsoft,"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Ryzen 5 رم 8GB حافظه 256GB SSD گرافیک AMD
","
Surface Laptop 4 13.5inch Ryzen 5 4680U 8GB 256GB SSD AMD Touch Laptop
",47230000,47430000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,AMD,Ryzen 5,2.2 گیگا هرتز,4.0 گیگاهرتز,,8 گیگابایت,DDR4,256 گیگابایت,SSD,AMD Radeon ,AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,,122195
microsoft,"
لپ تاپ 13 اینچی مایکروسافت مدل Surface Laptop 4 پردازنده Core i5-1135G7 رم 8GB حافظه 512GB SSD گرافیک Intel
","
Surface Laptop 4 13.5inch Core i5-1135G7 8GB 512GB SSD Intel Touch Laptop
",34990000,35990000,308x223x14.5 میلی‌متر,1.2,نوت بوک (لپ تاپ),13.5,PixelSense™ Display,2256 * 1504,INTEL,Core i5,i5-1135G7,,,8 گیگابایت,DDR4,512 گیگابایت,SSD,Intel, Intel® Iris® Xe,,122454
microsoft,"
لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Laptop Studio پردازنده Core i7-11370H رم 32GB حافظه 2TB SSD گرافیک 4GB A2000
","
Surface Laptop Studio 14.4inch Core i7-11370H 32GB 2TB SSD 4GB RTX A2000 Touch Laptop
",97500000,99000000,323.28 * 228.32 * 18.94 میلی‌متر,1.8,نوت بوک (لپ تاپ),14.4,PixelSense™ Display,1600 * 2560,INTEL,Core i7,i7-11370H,3.3 گیگاهرتز,12  مگابایت,32 گیگابایت,DDR4,2 ترابایت,SSD,Nvidia Gforce, RTX™ A2000,4 گیگابایت,123560
microsoft,"
لپ تاپ 14.4 اینچی مایکروسافت مدل Surface Laptop Studio پردازنده Core i7-11370H رم 16GB حافظه 512GB SSD گرافیک 4GB RTX3050Ti
","
Surface Laptop Studio 14.4inch Core i7-11370H 16GB 512GB SSD 4GB RTX 3050Ti Touch Laptop
",100000000,108350000,323.28 * 228.32 * 18.94 میلی‌متر,1.8,نوت بوک (لپ تاپ),14.4,PixelSense™ Display,1600 * 2560,INTEL,Core i7,i7-11370H,3.3 گیگاهرتز,12  مگابایت,16 گیگابایت,DDR4,512 گیگابایت,SSD,Nvidia Gforce,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,4 گیگابایت,123563
